Contestant,Total score,Jury score,Televoting score
Cyprus,94,50,44
Albania,57,22,35
Israel,93,73,20
Belgium,74,71,3
Russia,204,104,100
Malta,255,208,47
Portugal,153,126,27
Serbia,102,20,82
United Kingdom,0,0,0
Greece,170,91,79
Switzerland,432,267,165
Iceland,378,198,180
Spain,6,6,0
Moldova,115,53,62
Germany,3,3,0
Finland,301,83,218
Bulgaria,170,140,30
Lithuania,220,55,165
Ukraine,364,97,267
France,499,248,251
Azerbaijan,65,32,33
Norway,75,15,60
Netherlands,11,11,0
Italy,524,206,318
Sweden,109,46,63
San Marino,50,37,13
