Contestant,Total score,Jury score,Televoting score
Malta,107,87,20
Albania,90,43,47
Czech Republic,157,150,7
Germany,24,24,0
Russia,370,126,244
Denmark,120,69,51
San Marino,77,12,65
North Macedonia,305,247,58
Sweden,334,241,93
Slovenia,105,46,59
Cyprus,109,77,32
Netherlands,498,237,261
Greece,74,50,24
Israel,35,0,35
Norway,331,40,291
United Kingdom,11,8,3
Iceland,232,46,186
Estonia,76,28,48
Belarus,31,18,13
Azerbaijan,302,202,100
France,105,67,38
Italy,472,219,253
Serbia,89,35,54
Switzerland,364,152,212
Australia,284,153,131
Spain,54,1,53
